brand,title,salesPrice in Euro,collection,standard_price in Euro,Tag,Start Standard Price,End Standard Price,Start Sales Price,End Sales Price,Standard Price(€),Sales Price(€),Discount (%),info,Product Type
TED BAKER,Coram Jacquard Polo Shirt, 50.00,Men's clothing, 100.00,EXTRA 10% OFF AT CHECKOUT,100.0,0.0,50.0,0.0,100.0,50.0,50.0,Coram Jacquard Polo,Shirt
REISS,Tokyo Colour block Open Collar Shirt, 78.00,Men's clothing, 140.00,EXTRA 10% OFF AT CHECKOUT,140.0,0.0,78.0,0.0,140.0,78.0,44.29,Tokyo Colour block Open Collar,Shirt
REISS,Bonucci Corduroy Overshirt, 93.00,Men's clothing, 170.00,EXTRA 10% OFF AT CHECKOUT,170.0,0.0,93.0,0.0,170.0,93.0,45.29,Bonucci Corduroy,Overshirt
TED BAKER,Fonik Long Sleeve Shirt, 49.00,Men's clothing, 99.00,EXTRA 10% OFF AT CHECKOUT,99.0,0.0,49.0,0.0,99.0,49.0,50.51,Fonik Long Sleeve,Shirt
REISS,Wessex Crew Neck Sweater, 78.00,Men's clothing, 125.00,EXTRA 10% OFF AT CHECKOUT,125.0,0.0,78.0,0.0,125.0,78.0,37.6,Wessex Crew Neck,Sweater
TED BAKER,Kenton V-Neck Sweater, 55.00,Men's clothing, 110.00,EXTRA 10% OFF AT CHECKOUT,110.0,0.0,55.0,0.0,110.0,55.0,50.0,Kenton V-Neck,Sweater
TED BAKER,Allard Jacquard Polo Shirt, 59.00,Men's clothing, 85.00,EXTRA 10% OFF AT CHECKOUT,85.0,0.0,59.0,0.0,85.0,59.0,30.59,Allard Jacquard Polo,Shirt
REISS,Titan Check Woven Overshirt, 82.00,Men's clothing, 245.00,EXTRA 10% OFF AT CHECKOUT,245.0,0.0,82.0,0.0,245.0,82.0,66.53,Titan Check Woven,Overshirt
TED BAKER,Witree Long Sleeve Shirt, 65.00,Men's clothing, 130.00,EXTRA 10% OFF AT CHECKOUT,130.0,0.0,65.0,0.0,130.0,65.0,50.0,Witree Long Sleeve,Shirt
TED BAKER,Bushey Botanical Border Shirt, 115.00,Men's clothing, 165.00,EXTRA 10% OFF AT CHECKOUT,165.0,0.0,115.0,0.0,165.0,115.0,30.3,Bushey Botanical Border,Shirt
